"DATABASE:         Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.)",
PERMLINK:         www.lxcat.net/Biagi,
"DESCRIPTION:      These data were transcribed from S.F. Biagi's FORTRAN code, MagBoltz, versions 8.9 and later.",
COMMENT: From Biagi#039s Magboltz v8.9.,
CONTACT:          email Stephen.biagi@@hotmail.co.uk,
IONIZATION,
Ne -> Ne^+,
2.16E+01,
SPECIES: e / Ne,
"PROCESS: E + Ne -> E + E + Ne+, Ionization",
"PARAM.:  E = 21.565 eV, complete set",
UPDATED: 2010-11-26 13:30:45,
COLUMNS: Energy (eV) | Cross section (m2),
-----------------------------,
2.16E+01,0.00E+00
2.16E+01,7.12E-27
2.16E+01,2.50E-24
2.16E+01,5.09E-24
2.17E+01,7.77E-24
2.17E+01,1.05E-23
2.18E+01,1.34E-23
2.18E+01,1.64E-23
2.18E+01,1.95E-23
2.19E+01,2.27E-23
2.19E+01,2.60E-23
2.20E+01,2.94E-23
2.20E+01,3.39E-23
2.21E+01,3.94E-23
2.21E+01,4.52E-23
2.22E+01,5.11E-23
2.22E+01,5.73E-23
2.23E+01,6.37E-23
2.24E+01,7.02E-23
2.24E+01,7.71E-23
2.25E+01,8.41E-23
2.26E+01,9.15E-23
2.26E+01,9.90E-23
2.27E+01,1.07E-22
2.28E+01,1.15E-22
2.29E+01,1.23E-22
2.29E+01,1.32E-22
2.30E+01,1.41E-22
2.31E+01,1.50E-22
2.32E+01,1.60E-22
2.33E+01,1.69E-22
2.34E+01,1.80E-22
2.35E+01,1.90E-22
2.36E+01,2.01E-22
2.37E+01,2.13E-22
2.38E+01,2.26E-22
2.39E+01,2.38E-22
2.40E+01,2.52E-22
2.42E+01,2.66E-22
2.43E+01,2.80E-22
2.44E+01,2.96E-22
2.45E+01,3.11E-22
2.47E+01,3.27E-22
2.48E+01,3.43E-22
2.50E+01,3.60E-22
2.51E+01,3.77E-22
2.53E+01,3.95E-22
2.55E+01,4.13E-22
2.56E+01,4.32E-22
2.58E+01,4.53E-22
2.60E+01,4.74E-22
2.62E+01,4.99E-22
2.64E+01,5.25E-22
2.66E+01,5.51E-22
2.68E+01,5.77E-22
2.70E+01,6.05E-22
2.72E+01,6.33E-22
2.75E+01,6.62E-22
2.77E+01,6.92E-22
2.80E+01,7.23E-22
2.82E+01,7.55E-22
2.85E+01,7.87E-22
2.88E+01,8.21E-22
2.91E+01,8.56E-22
2.94E+01,8.94E-22
2.97E+01,9.32E-22
3.00E+01,9.72E-22
3.03E+01,1.01E-21
3.07E+01,1.06E-21
3.10E+01,1.10E-21
3.14E+01,1.15E-21
3.18E+01,1.19E-21
3.22E+01,1.24E-21
3.26E+01,1.29E-21
3.30E+01,1.35E-21
3.34E+01,1.40E-21
3.39E+01,1.46E-21
3.44E+01,1.51E-21
3.49E+01,1.57E-21
3.54E+01,1.63E-21
3.59E+01,1.69E-21
3.64E+01,1.75E-21
3.70E+01,1.81E-21
3.75E+01,1.88E-21
3.81E+01,1.95E-21
3.88E+01,2.02E-21
3.94E+01,2.10E-21
4.01E+01,2.18E-21
4.07E+01,2.25E-21
4.15E+01,2.32E-21
4.22E+01,2.40E-21
4.30E+01,2.48E-21
4.37E+01,2.56E-21
4.46E+01,2.64E-21
4.54E+01,2.73E-21
4.63E+01,2.82E-21
4.72E+01,2.92E-21
4.81E+01,3.02E-21
4.91E+01,3.12E-21
5.01E+01,3.23E-21
5.11E+01,3.33E-21
5.22E+01,3.44E-21
5.33E+01,3.55E-21
5.44E+01,3.66E-21
5.56E+01,3.77E-21
5.69E+01,3.88E-21
5.81E+01,3.98E-21
5.95E+01,4.10E-21
6.08E+01,4.21E-21
6.23E+01,4.32E-21
6.37E+01,4.44E-21
6.52E+01,4.56E-21
6.68E+01,4.67E-21
6.84E+01,4.79E-21
7.01E+01,4.91E-21
7.19E+01,5.01E-21
7.37E+01,5.13E-21
7.55E+01,5.24E-21
7.74E+01,5.35E-21
7.94E+01,5.46E-21
8.15E+01,5.56E-21
8.37E+01,5.67E-21
8.59E+01,5.78E-21
8.82E+01,5.89E-21
9.05E+01,6.00E-21
9.30E+01,6.09E-21
9.56E+01,6.19E-21
9.82E+01,6.28E-21
1.01E+02,6.38E-21
1.04E+02,6.47E-21
1.07E+02,6.56E-21
1.10E+02,6.66E-21
1.13E+02,6.73E-21
1.16E+02,6.81E-21
1.19E+02,6.89E-21
1.23E+02,6.95E-21
1.26E+02,7.01E-21
1.30E+02,7.07E-21
1.34E+02,7.13E-21
1.38E+02,7.18E-21
1.42E+02,7.24E-21
1.46E+02,7.30E-21
1.51E+02,7.36E-21
1.55E+02,7.41E-21
1.60E+02,7.46E-21
1.65E+02,7.47E-21
1.70E+02,7.47E-21
1.75E+02,7.48E-21
1.81E+02,7.48E-21
1.87E+02,7.47E-21
1.92E+02,7.46E-21
1.98E+02,7.45E-21
2.05E+02,7.44E-21
2.11E+02,7.41E-21
2.18E+02,7.39E-21
2.25E+02,7.37E-21
2.32E+02,7.33E-21
2.39E+02,7.29E-21
2.47E+02,7.25E-21
2.55E+02,7.19E-21
2.63E+02,7.12E-21
2.72E+02,7.06E-21
2.81E+02,6.98E-21
2.90E+02,6.91E-21
2.99E+02,6.83E-21
