f,p,Pwr,b2mo_ar,b2mo_ne,b2mo_he
50.0,2,150.0,0.551523513029076,0.986485392705564,3.72112475758648
50.0,2,151.0,0.550211702913906,0.987371444870501,3.71031370430786
50.0,2,152.0,0.548919265468253,0.988247231055445,3.69962514679703
50.0,2,153.0,0.547645749404767,0.989112935028693,3.68905683381226
50.0,2,154.0,0.546390717589092,0.98996873607842,3.67860657200449
50.0,2,155.0,0.545153746487763,0.990814809149633,3.66827222398331
50.0,2,156.0,0.543934425640556,0.991651324977304,3.65805170646297
50.0,2,157.0,0.542732357157531,0.992478450214328,3.64794298848444
50.0,2,158.0,0.541547155238658,0.99329634755504,3.63794408970974
50.0,2,159.0,0.540378445715992,0.994105175853823,3.6280530787851
50.0,2,160.0,0.539225865618,0.994905090238687,3.61826807176921
50.0,2,161.0,0.538089062758655,0.995696242224893,3.60858723062435
50.0,2,162.0,0.536967695368341,0.996478779817521,3.5990087617663
50.0,2,163.0,0.535861431932129,0.997252847616349,3.58953091467134
50.0,2,164.0,0.534769902151049,0.998018586914503,3.58015198053596
50.0,2,165.0,0.533692932267381,0.998776135793529,3.57087029099372
50.0,2,166.0,0.532630076331723,0.99952562921673,3.56168421686707
50.0,2,167.0,0.531581097627284,1.00026719911715,3.55259216698521
50.0,2,168.0,0.530545792614906,1.00100097448412,3.54359258703176
50.0,2,169.0,0.529523596619249,1.00172708144623,3.53468395844206
50.0,2,170.0,0.528514535231343,1.00244564335159,3.52586479733883
50.0,2,171.0,0.527518239987257,1.00315678084609,3.51713365350851
50.0,2,172.0,0.526534455485383,1.00386061194651,3.50848910941397
50.0,2,173.0,0.525562932307297,1.00455725211976,3.49992977924021
50.0,2,174.0,0.524603427619825,1.00524681435473,3.49145430795482
50.0,2,175.0,0.523655705054497,1.00592940662593,3.48306126064855
50.0,2,176.0,0.522719534514527,1.006605143248,3.47474968046591
50.0,2,177.0,0.521794691973394,1.0072741264444,3.46651798229192
50.0,2,178.0,0.520880959276826,1.0079364591031,3.458364997216
50.0,2,179.0,0.519978123951077,1.00859223322906,3.45028952217729
50.0,2,180.0,0.519085979018024,1.00924158120391,3.44229030249193
50.0,2,181.0,0.518204322817289,1.00988456524112,3.43436631317406
50.0,2,182.0,0.517332958835064,1.01052129375402,3.42651635189778
50.0,2,183.0,0.516471695539493,1.01115185976444,3.41873930461224
50.0,2,184.0,0.515620346222332,1.01177635471996,3.41103408049116
50.0,2,185.0,0.514778728846604,1.01239486825364,3.40339961130638
50.0,2,186.0,0.513946665899994,1.01300748820407,3.39583485081867
50.0,2,187.0,0.513123984253743,1.01361430065527,3.38833877419904
50.0,2,188.0,0.512310515026807,1.01421538997964,3.38091046823641
50.0,2,189.0,0.511506093455002,1.01481083888023,3.37354877137244
